titre,status,attempts,image_url,error
"Triomphe de Tibère sur les Germains et les Pannoniens","FAILED_AFTER_RETRIES",4,"N/A","Erreur à la tentative 4: Request to https://api.replicate.com/v1/models/black-forest-labs/flux-schnell/predictions failed with status 422 Unprocessable Entity: {""detail"":""- input.num_inference_steps: Must be less than or equal to 4\n"",""status"":422,""title"":""Input validation failed"",""invalid_fields"":[{""type"":""number_lte"",""field"":""input.num_inference_steps"",""description"":""Must be less than or equal to 4""}]}
."
"Germanicus capture Thusnelda","FAILED_AFTER_RETRIES",4,"N/A","Erreur à la tentative 4: Request to https://api.replicate.com/v1/models/black-forest-labs/flux-schnell/predictions failed with status 422 Unprocessable Entity: {""detail"":""- input.num_inference_steps: Must be less than or equal to 4\n"",""status"":422,""title"":""Input validation failed"",""invalid_fields"":[{""type"":""number_lte"",""field"":""input.num_inference_steps"",""description"":""Must be less than or equal to 4""}]}
."
"Triomphe de Germanicus à Rome","FAILED_AFTER_RETRIES",4,"N/A","Erreur à la tentative 4: Request to https://api.replicate.com/v1/models/black-forest-labs/flux-schnell/predictions failed with status 422 Unprocessable Entity: {""detail"":""- input.num_inference_steps: Must be less than or equal to 4\n"",""status"":422,""title"":""Input validation failed"",""invalid_fields"":[{""type"":""number_lte"",""field"":""input.num_inference_steps"",""description"":""Must be less than or equal to 4""}]}
."
"Mort de Germanicus à Antioche","FAILED_AFTER_RETRIES",4,"N/A","Erreur à la tentative 4: Request to https://api.replicate.com/v1/models/black-forest-labs/flux-schnell/predictions failed with status 422 Unprocessable Entity: {""detail"":""- input.num_inference_steps: Must be less than or equal to 4\n"",""status"":422,""title"":""Input validation failed"",""invalid_fields"":[{""type"":""number_lte"",""field"":""input.num_inference_steps"",""description"":""Must be less than or equal to 4""}]}
."
"Révolte de Sacrovir et Florus en Gaule","FAILED_AFTER_RETRIES",4,"N/A","Erreur à la tentative 4: Request to https://api.replicate.com/v1/models/black-forest-labs/flux-schnell/predictions failed with status 422 Unprocessable Entity: {""detail"":""- input.num_inference_steps: Must be less than or equal to 4\n"",""status"":422,""title"":""Input validation failed"",""invalid_fields"":[{""type"":""number_lte"",""field"":""input.num_inference_steps"",""description"":""Must be less than or equal to 4""}]}
."
"Tibère se retire à Capri","FAILED_AFTER_RETRIES",4,"N/A","Erreur à la tentative 4: Request to https://api.replicate.com/v1/models/black-forest-labs/flux-schnell/predictions failed with status 422 Unprocessable Entity: {""detail"":""- input.num_inference_steps: Must be less than or equal to 4\n"",""status"":422,""title"":""Input validation failed"",""invalid_fields"":[{""type"":""number_lte"",""field"":""input.num_inference_steps"",""description"":""Must be less than or equal to 4""}]}
."
"Révolte des Frisons","FAILED_AFTER_RETRIES",4,"N/A","Erreur à la tentative 4: Request to https://api.replicate.com/v1/models/black-forest-labs/flux-schnell/predictions failed with status 422 Unprocessable Entity: {""detail"":""- input.num_inference_steps: Must be less than or equal to 4\n"",""status"":422,""title"":""Input validation failed"",""invalid_fields"":[{""type"":""number_lte"",""field"":""input.num_inference_steps"",""description"":""Must be less than or equal to 4""}]}
."
