Titre Événement,Statut,URL Image Générée,ID Enregistrement Inséré,Message d'Erreur
Signature de la Magna Carta,SUCCESS,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/signature_de_la_magna_carta_48db2139.webp,3f362994-4ebc-439e-9420-8cf4b7102b38,
Début de la Grande Peste en Europe,SUCCESS,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dbut_de_la_grande_peste_en_europe_634c4a45.webp,a467f3f9-d2d8-4001-b10a-30375e61cf6d,
Défaite de l'Invincible Armada espagnole,SUCCESS,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dfaite_de_linvincible_armada_espagnole_2f4c9a40.webp,093f7eba-8b2a-415c-86c9-3a2211770db7,
Arrivée du Mayflower en Amérique,SUCCESS,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/arrive_du_mayflower_en_amrique_77d46dfa.webp,1d32b7cd-45e1-4571-9fe3-6a5f393af404,
Déclaration d'Indépendance américaine,SUCCESS,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dclaration_dindpendance_amricaine_e1a842d3.webp,bd9300b0-b1a8-4f09-b6f1-cda68dd2b8a7,
Prise de la Bastille,SUCCESS,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/prise_de_la_bastille_14e03c7f.webp,f06f0343-4992-4e08-9c98-270a3cd39094,
Bataille de Waterloo,SUCCESS,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/bataille_de_waterloo_ec7f6ce5.webp,c1003921-86f3-41ed-9ca5-ea5e9ebe76b3,
Début de la Guerre de Sécession américaine,SUCCESS,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/dbut_de_la_guerre_de_scession_amricaine_113b2c7d.webp,1231f651-611b-4056-a897-6702aeb85032,
Assassinat de l'Archiduc François-Ferdinand,FAILED,,,"400 {""message"":null,""type"":""image_generation_user_error"",""param"":null,""code"":null}"
Bataille de Poitiers (Charles Martel arrête les Arabes),SUCCESS,https://ppxmtnuewcixbbmhnzzc.supabase.co/storage/v1/object/public/evenements-image/bataille_de_poitiers_charles_martel_arrte_les_arab_79b35f12.webp,d97496e2-00cf-48b1-930b-1c5d0f37999c,
